,EEP,log10_isochrone_age_yr,initial_mass,star_mass,log_Teff,log_g,log_L,[Fe/H]_init,[Fe/H],GALEX_FUV,GALEX_NUV,phase
144,378,9.69,0.9289523196766317,0.9286333632016808,3.872404181233081,4.428779353364547,0.41608283633216286,-4.0,-4.620127,21.719858,17.224001,0.0
145,379,9.69,0.9314486613149136,0.9311227745221581,3.8738960825284967,4.423541730859463,0.428684949793279,-4.0,-4.604222,21.655045,17.19137,0.0
146,380,9.69,0.9338949944894653,0.933562100529587,3.8753878315551615,4.418332712538622,0.44122978197366786,-4.0,-4.619444,21.589823,17.158749,0.0
147,381,9.69,0.936294125722203,0.9359541417946808,3.876869802178185,4.413105416714761,0.4537272814521175,-4.0,-4.597452,21.524704,17.126228,0.0
148,382,9.69,0.9386468808446226,0.9382997235839838,3.878338192921776,4.407841240661118,0.4661813079591672,-4.0,-4.646379,21.45994,17.093861,0.0
149,383,9.69,0.9409508249975277,0.940596420801536,3.879802896943678,4.402593270049032,0.47857698700166545,-4.0,-4.612628,21.395298,17.061657,0.0
150,384,9.69,0.9432082414799616,0.9428465126413853,3.88125621527206,4.39732232665003,0.49092397967067775,-4.0,-4.589686,21.3309,17.029615,0.0
151,385,9.69,0.9454192357394857,0.9450501076138867,3.882698994810701,4.392035008552809,0.5032191358468934,-4.0,-4.663477,21.266674,16.99774,0.0
152,386,9.69,0.9475831392367192,0.9472065422064457,3.8841348797135775,4.386751725015261,0.5154562499828979,-4.0,-4.597297,21.202507,16.966036,0.0
153,387,9.69,0.9497019928937096,0.9493178542943891,3.8855571915711016,4.381438785089645,0.5276434425821486,-4.0,-4.620778,21.138454,16.934504,0.0
154,388,9.69,0.951776752524208,0.9513850007343254,3.886963720558404,4.376085390666835,0.5397832087890666,-4.0,-4.605483,21.074503,16.903141,0.0
155,389,9.69,0.9538071939548093,0.9534077606583621,3.8883566775319247,4.370705693872845,0.5518701154610597,-4.0,-4.621061,21.010536,16.871956,0.0
156,390,9.69,0.9557942421794378,0.9553870589249661,3.889734995119946,4.365296372470155,0.5639037338935843,-4.0,-4.637633,20.946552,16.840946,0.0
157,391,9.69,0.9577373003624376,0.9573223058435394,3.891101851126199,4.3598720552469326,0.5758818146422856,-4.0,-4.637,20.882959,16.810059,0.0
158,392,9.69,0.9596497999327825,0.9592269486005048,3.892471796546881,4.354494549444498,0.587801109209566,-4.0,-4.56577,20.819407,16.779276,0.0
159,393,9.69,0.9616251477313752,0.9611944449339043,3.8939003536734704,4.3493856825984745,0.599669126244538,-4.0,-4.593801,20.754354,16.748457,0.0
160,394,9.69,0.9635613915422494,0.9631227560495539,3.8952799700062064,4.344077547316877,0.6115199744372064,-4.0,-4.619749,20.689976,16.717838,0.0
161,395,9.69,0.9654482973409728,0.9650016907655745,3.8966587268383512,4.338822447332653,0.6232880633595292,-4.0,-4.595496,20.625107,16.687464,0.0
162,396,9.69,0.967291055101017,0.9668364266743296,3.8980192585282776,4.333530612798655,0.6349966512792916,-4.0,-4.610282,20.559891,16.657352,0.0
